1;Auto Fire Alarm | 1415 5th Av | Units: E2 L4;fire
2;Automatic Fire Alarm Resd | 1408 8th Av W | Units: E8;fire
3;Tough Questions in Factory Fire's Ashes - The fire that killed 112 garment workers in Bangladesh last weekend unders... http://t.co/Bj2i8QYU;fire
4;Auto Fire Alarm | 1600 E Olive St | Units: E25 L10;fire
5;Automatic Fire Alarm False | 1325 6th Av | Units: E5;fire
6;Auto Fire Alarm | 1415 E Olive St | Units: E25 L10;fire
7;#Bangladesh #factory fire reveals method retailers bypass #labor laws that resulted from NYC triangle shirtwaist fire. http://t.co/qC5HMOCa;fire
8;Auto Fire Alarm | 1118 5th Av | Units: E2 L4;fire
9;Firefighters battling a house fire in the 13000 block of 167th Ave. NE in Redmond. no one was home, officials say http://t.co/fLBYsYJl;fire
10;Auto Fire Alarm | 1101 4th Av | Units: E10 L1;fire
11;Auto Fire Alarm | 223 Yesler Way | Units: E10 L1;fire
12;REPORTED FIRE IN BUILDING 1128 13TH AV 1128 13TH AV http://t.co/bIX29KJY;fire
13;Auto Fire Alarm | 1700 7th Av | Units: E2 L4;fire
14;Auto Fire Alarm | 1326 5th Av | Units: E2 L4;fire
15;Automatic Fire Alarm False | 1016 E Marion St | Units: E25 L10;fire
16;Auto Fire Alarm | 1550 N 115th St | Units: B6 E24 E31 L5;fire
17;Auto Fire Alarm | 1100 University St | Units: E25 L10;fire
18;Auto Fire Alarm | 1708 Melrose Av | Units: E25 L10;fire
19;Accident in Bellevue reported - WB 90 before 405, HOV lane. Slow approaching scene;crash
20;Well, let's add this in to the mix- SB 5 at 320th, crash blocks the TWO right lanes!;crash
21;Second fire evacuation of the week. Pretty sure someone just burned dinner, but we're all outside with our dogs anyway. #safetyfirst;crash
22;crash nb 5 after 54th in fife blocking 2 lanes;crash
23;BBC News UK Motorist dies after A97 collision: A male motorist aged in his 30s dies after a crash on the A97 nea... http://t.co/XovZESka;crash
24;Auto Fire Alarm | 2733 3rd Av S | Units: E13 L7;crash
25;Uuuuuuugh.  SB I5 at Pine near downtown... accident blocking 2 center lanes.  Lovely.;crash
26;405 SB after SR167 there is an accident blocking the right lane!;crash
27;Auto Fire Alarm | 4831 35th Av Sw | Units: E32 L11;crash
28;Ah rats.  Another accident SB I5 on the Ship Canal Bridge partially blocking the left lane.;crash
29;Auto Fire Alarm | 1600 E Olive St | Units: E25 L10;crash
30;car/semi crash reported, wb sr 520 before I-405 on right & left shoulders;crash
31;Accident in Bellingham - SB 5 before Lakeway Dr, right lane. Aid on scene. Slow from before Sunset Dr;crash
32;Crash partially blocking the left center lane EB 518 at 51st...... be careful- it's nasty out there!;crash
33;Stall blocking WB 520 at 92nd- tow crew just arrived on scene, so it should be gone quickly!;crash
34;Auto Fire Alarm | 2215 1st Av | Units: E2 L4;crash
35;Auto Fire Alarm | 1415 E Olive St | Units: E25 L10;crash
36;Car Fire | Sb Sr99 At Battery St Tunnel | Units: E2;crash
37;Auto Fire Alarm | 3301 S Norfolk St | Units: E33 L12;crash
38;crash reported on NB SR 7to NB 705;crash
39;405 NB before SE 8th, an accident partially blocks the HOV lane...;crash
40;Auto Fire Alarm | 1118 5th Av | Units: E2 L4;crash
41;Lower Spokane St Bridge has re-opened to vehicle traffic;crash
42;Auto Fire Alarm | 3896 Benton Ln Ne | Units: E22 L4;crash
43;eb sr 520 before Montlake, crash partially blocking right lane;crash
44;Accident in Tukwila - EB SR 518 ramp to SB 5, HOV lane. Also south of that, accident SB on left shoulder before 178th, left side..;crash
45;East Pierce Firefighters are at scene of a rollover accident in the 24400 Blk of SR 410, near Buckley.;crash
46;The traffic light at N 64th and Green Lake Way is OUT. Like, dark. On all sides. Crew is on scene.;crash
47;Police investigate woman who damaged 529 bridge with SUV: The sheriff's office has recommended the woma... http://t.co/ciYEDoGk #seattle;crash
48;Auto Fire Alarm | 223 Yesler Way | Units: E10 L1;crash
49;Auto Fire Alarm | 922 Mcgilvra Blvd E | Units: E34 L10;crash
50;I90 WB at Island Crest Way there is an accident on the left shoulder.  Was briefly blocking.;crash
51;520 EB before 124th there is an accident partially blocking the HOV and center lanes.;crash
52;I5 SB before NE 175th, an accident is blocking the center lane.;crash
53;Auto Fire Alarm | 1101 4th Av | Units: E10 L1;crash
54;WHOA!  HOV ramp from SB 405 to WB I90 is BLOCKED by a single car rollover accident!;crash
55;I5 SB at the Boeing Access Road there is an incident blocking the right lane.;crash
56;I5 SB before Northgate there is an accident blocking the right lane!;crash
57;Fire in Langley Mill highlights importance of smoke alarms http://t.co/Msb1fQzJ #highlights;crash
58;Auto Fire Alarm | 1753 Nw 57th St | Units: E18 L6;crash
59;Camacho declared brain dead after shooting - Famed Puerto Rican boxer Hector Macho Camacho is clinically brain dea... http://t.co/14NoD8l5;shooting
60;3 police cars and 2 fire trucks with sirens blaring passed by, then a minute later 1 more police car and 2 ambulances. Hope people are ok!;shooting
61;Breaking: SFD confirms a man was shot in both legs in West Seattle and taken to Harborview with non-life-threatening injuries;shooting
62;Also, I’ve never seen more smokers than in Turkey. Even seen kids smoke. Nearly everyone around me at the match smoke too. In their seats!;NO
63;Edm/King - One hour wait for vehicles in Edmonds due to heavy traffic.  http://t.co/OdQaJnt2;NO
64;Things currently happening in my 4sq and Instagram feeds - people eating pizza, people stuck in traffic. No people in traffic eating pizza.;NO
65;BBC News UK Man hurt in horse carriage crash: A man is seriously injured in a crash between a car and a horse-dr... http://t.co/qdQYolZv;NO
66;Lower Spokane St Bridge has closed to vehicle traffic;NO
67;Structural damage closes Ferndale bridge: FERNDALE, Wash. (AP) — A weekend accident caused structural d... http://t.co/J34gvxT7 #seattle;NO
68;Lower Spokane St Bridge has re-opened to vehicle traffic;NO
69;WATCH: You Won't Believe How Long This Traffic Jam Lasted In Russia http://t.co/wmkzeGWK;NO
70;Providence Eyewitness News Injury Report: Week 13Providence Eyewitness NewsTAMPA BAY BUCCANEERS at DENVER BRONCOS —... http://t.co/cskaviv2;NO
71;all these UW police reports are making me not wanna go outside! that and the rain;NO
72;Structural damage closes Ferndale bridge: An accident that caused structural damage to a bridge over the Nooksack... http://t.co/trwO0vdF;NO
73;Traffic Alert: there is water over the eastbound lanes of the Kent-Kangley road next to Lake Meridian in Kent.  Use caution in this area.;NO
74;Good Morning - no major incidents to report on the local highways - keeping an eye on the north end Sounder service (should be operating);NO
75;BBC News UK Two hurt in level crossing crash: Two people are seriously injured in a collision involving a train ... http://t.co/jiLbVquA;NO
76;1972 Dodge Charger NASCAR Race Car - American Racing Legend Richard Petty By His Car - 1920x1440 - W http://t.co/CjH9SOux;NO
77;$YM_F found resistance FTU at 12999 - 12988 TS # Zone Range Short. Break of 12950 TS # targets 12914 - 12896 Range Long $DIA $INDU;NO
78;Commented on StockTwits: Not sure keying on  87.77 TS #. Holding above is bullish and targets 95.28 TS # extended ta... http://t.co/iqINjHeB;NO
79;Our Auto Locksmiths Are The Best! Automotive locksmith usually refers to opening of a locked car door when a... http://t.co/t25Fr5WB;NO
80;Resistance at 12974 TS # as expected /mentioned. Do we get the break of 12950 now and continuation down to Range Long target $YM_F DIA $INDU;NO
81;Special Sandwich- Hickory Smoked Turkey, Smoked Gouda Cheese, Leaf Lettuce on Wheat with House-made Cranberry Jam... http://t.co/BZHLrLr2;NO
